rollout_id,timestamp_hour,rank0,rank1,rank2,rank3,total
0,20.8249,215906,215905,215904,215904,863619
1,20.8856,210180,210174,210154,210044,840552
2,20.9314,214422,214418,214406,214104,857350
3,20.9780,209727,209726,209726,209536,838715
4,21.0239,241306,241272,241246,241242,965066
5,21.0692,195951,195950,195949,195947,783797
6,21.1129,213664,213664,213664,213660,854652
7,21.1607,207718,207716,207716,207715,830865
8,21.2067,241369,241369,241368,241367,965473
9,21.2531,201973,201972,201972,201972,807889
10,21.3322,227695,227234,227030,227030,908989
11,21.3803,226651,226651,226650,226650,906602
12,21.4286,195933,195933,195902,194866,782634
13,21.4722,212644,212643,212643,212642,850572
14,21.5191,237353,237353,237353,237352,949411
15,21.5648,191199,191194,189656,189585,761634
16,21.6044,182715,182713,182713,182712,730853
17,21.6489,206906,206904,206903,206902,827615
18,21.6954,232221,232221,232221,232220,928883
19,21.7444,205303,205293,204968,204547,820111
