rollout_id,rank,mb_idx,total_tokens
0,0,0,8391
0,0,1,8999
0,0,2,8339
0,0,3,8339
0,0,4,8339
0,0,5,8588
0,0,6,8358
0,0,7,8358
0,0,8,8325
0,0,9,9009
0,0,10,7316
0,0,11,6055
0,0,12,8345
0,0,13,8435
0,0,14,8435
0,0,15,6350
0,0,16,7980
0,0,17,7038
0,0,18,5425
0,0,19,5979
0,0,20,8327
0,0,21,5118
0,0,22,8360
0,0,23,8360
0,0,24,8360
0,0,25,8317
0,0,26,8317
0,0,27,4344
0,1,0,8391
0,1,1,8391
0,1,2,8391
0,1,3,8985
0,1,4,4863
0,1,5,8339
0,1,6,8339
0,1,7,9096
0,1,8,8358
0,1,9,8358
0,1,10,7908
0,1,11,8325
0,1,12,6048
0,1,13,8698
0,1,14,8345
0,1,15,8345
0,1,16,8345
0,1,17,8435
0,1,18,7187
0,1,19,5443
0,1,20,6696
0,1,21,8327
0,1,22,6996
0,1,23,8360
0,1,24,5658
0,1,25,4644
0,1,26,8317
0,1,27,8317
0,2,0,8391
0,2,1,8391
0,2,2,9167
0,2,3,8369
0,2,4,8339
0,2,5,8339
0,2,6,8358
0,2,7,8866
0,2,8,8325
0,2,9,8345
0,2,10,8345
0,2,11,8435
0,2,12,8435
0,2,13,8328
0,2,14,6374
0,2,15,7023
0,2,16,6287
0,2,17,8203
0,2,18,8339
0,2,19,7873
0,2,20,8360
0,2,21,8360
0,2,22,5969
0,2,23,5160
0,2,24,4801
0,2,25,8317
0,2,26,8317
0,2,27,4088
0,3,0,8391
0,3,1,8908
0,3,2,9122
0,3,3,8064
0,3,4,8339
0,3,5,8358
0,3,6,8358
0,3,7,8358
0,3,8,8325
0,3,9,8325
0,3,10,5094
0,3,11,7580
0,3,12,8345
0,3,13,8345
0,3,14,8435
0,3,15,8435
0,3,16,8435
0,3,17,8328
0,3,18,6590
0,3,19,7162
0,3,20,5223
0,3,21,8360
0,3,22,8360
0,3,23,6097
0,3,24,5843
0,3,25,8317
0,3,26,8317
0,3,27,4090
1,0,0,8051
1,0,1,8389
1,0,2,8389
1,0,3,7693
1,0,4,8357
1,0,5,8967
1,0,6,6430
1,0,7,7312
1,0,8,8386
1,0,9,8386
1,0,10,5412
1,0,11,8467
1,0,12,5668
1,0,13,8351
1,0,14,8351
1,0,15,8334
1,0,16,8334
1,0,17,8370
1,0,18,8370
1,0,19,8301
1,0,20,8301
1,0,21,8335
1,0,22,8335
1,0,23,8381
1,0,24,8381
1,0,25,5953
1,0,26,4176
1,1,0,7652
1,1,1,8389
1,1,2,8389
1,1,3,8370
1,1,4,7446
1,1,5,8440
1,1,6,8386
1,1,7,8386
1,1,8,8639
1,1,9,6299
1,1,10,4908
1,1,11,5569
1,1,12,5836
1,1,13,8351
1,1,14,8351
1,1,15,8052
1,1,16,8334
1,1,17,8334
1,1,18,8370
1,1,19,8370
1,1,20,8301
1,1,21,8301
1,1,22,8335
1,1,23,8335
1,1,24,8381
1,1,25,8381
1,1,26,5269
1,2,0,8389
1,2,1,8389
1,2,2,7887
1,2,3,8232
1,2,4,7389
1,2,5,8981
1,2,6,6182
1,2,7,8351
1,2,8,8386
1,2,9,8386
1,2,10,8454
1,2,11,5267
1,2,12,8351
1,2,13,8351
1,2,14,8334
1,2,15,8370
1,2,16,8370
1,2,17,8030
1,2,18,8301
1,2,19,8335
1,2,20,8335
1,2,21,8381
1,2,22,8381
1,2,23,8372
1,2,24,5621
1,2,25,6549
