rollout_id,mb_idx,rank0_tokens,rank1_tokens,rank2_tokens,rank3_tokens
0,0,8391,8391,8391,8391
0,1,8999,8391,8391,8908
0,2,8339,8391,9167,9122
0,3,8339,8985,8369,8064
0,4,8339,4863,8339,8339
0,5,8588,8339,8339,8358
0,6,8358,8339,8358,8358
0,7,8358,9096,8866,8358
0,8,8325,8358,8325,8325
0,9,9009,8358,8345,8325
0,10,7316,7908,8345,5094
0,11,6055,8325,8435,7580
0,12,8345,6048,8435,8345
0,13,8435,8698,8328,8345
0,14,8435,8345,6374,8435
0,15,6350,8345,7023,8435
0,16,7980,8345,6287,8435
0,17,7038,8435,8203,8328
0,18,5425,7187,8339,6590
0,19,5979,5443,7873,7162
0,20,8327,6696,8360,5223
0,21,5118,8327,8360,8360
0,22,8360,6996,5969,8360
0,23,8360,8360,5160,6097
0,24,8360,5658,4801,5843
0,25,8317,4644,8317,8317
0,26,8317,8317,8317,8317
0,27,4344,8317,4088,4090
1,0,8051,7652,8389,8578
1,1,8389,8389,8389,8394
1,2,8389,8389,7887,8989
1,3,7693,8370,8232,8389
1,4,8357,7446,7389,8389
1,5,8967,8440,8981,7998
1,6,6430,8386,6182,6853
1,7,7312,8386,8351,8197
1,8,8386,8639,8386,6244
1,9,8386,6299,8386,8351
1,10,5412,4908,8454,8386
1,11,8467,5569,5267,8386
1,12,5668,5836,8351,5548
1,13,8351,8351,8351,8351
1,14,8351,8351,8334,8351
1,15,8334,8052,8370,8334
1,16,8334,8334,8370,8334
1,17,8370,8334,8030,8370
1,18,8370,8370,8301,8370
1,19,8301,8370,8335,8301
1,20,8301,8301,8335,7472
1,21,8335,8301,8381,8335
1,22,8335,8335,8381,8335
1,23,8381,8335,8372,8381
1,24,8381,8381,5621,8381
1,25,5953,8381,6549,5671
1,26,4176,5269,3780,2356
2,0,8525,9124,8397,8920
2,1,8305,8305,8397,8606
2,2,8397,8397,8382,8818
2,3,8397,8397,8382,9042
2,4,8382,8382,8486,8397
2,5,8382,8382,8428,8397
2,6,7659,8428,8428,8382
2,7,9061,8428,9124,8382
2,8,8675,7623,8554,7983
2,9,8428,8331,7804,8423
2,10,8428,8742,8286,8428
2,11,8975,8991,8286,8428
2,12,8331,8286,8334,8319
2,13,7303,8286,8606,7713
2,14,8023,8286,8976,9163
2,15,8286,7879,7631,8286
2,16,8889,8334,7277,8286
2,17,7904,7352,8334,7503
2,18,8334,8293,8293,8334
2,19,8293,8885,8293,8293
2,20,8293,5172,8906,8293
2,21,8293,8294,5411,4102
2,22,5547,8294,8294,8294
2,23,8294,8509,8294,8294
2,24,8509,8509,8294,8509
2,25,8509,8509,8509,8509
3,0,9009,8369,8369,8369
3,1,8064,7201,9022,8237
3,2,8369,8901,7094,6954
3,3,6792,9083,8304,6612
3,4,8369,8997,6245,8988
3,5,7140,8111,8385,9180
3,6,8559,6417,8304,8304
3,7,9141,8304,8304,8304
3,8,6065,8304,8327,8327
3,9,8304,8327,8327,8327
3,10,8304,8327,9117,8003
3,11,8327,8451,7389,7169
3,12,8327,6983,8293,8451
3,13,6455,8293,8293,8293
3,14,8293,8293,8495,8293
3,15,8293,8495,8495,8495
3,16,8495,8495,8445,8495
3,17,8495,8445,8445,8445
3,18,8445,8445,6556,8445
3,19,8445,8320,6727,9045
3,20,7216,5888,8052,8320
3,21,8290,8290,7207,8290
3,22,7588,8290,8290,8314
3,23,8314,6671,8314,8314
3,24,8314,8314,8314,7299
3,25,8314,7712,8613,4263
4,0,8301,8301,8301,8301
4,1,8301,8301,8301,8301
4,2,8298,8298,8298,8298
4,3,8298,8298,8298,8298
4,4,8327,8327,8327,8327
4,5,8327,8327,8327,8327
4,6,8343,8343,8343,8343
4,7,8343,8343,8343,8343
4,8,6421,6972,8297,4921
4,9,6518,5033,8297,8297
4,10,8297,8615,8333,8333
4,11,8297,6164,8333,8333
4,12,8333,8297,8418,8418
4,13,8333,8297,8418,8418
4,14,8418,8297,8339,8339
4,15,8418,8333,8339,8339
4,16,8339,8333,6355,6849
4,17,8339,8418,6809,8561
4,18,7012,8418,6128,6459
4,19,8748,8339,5338,6181
4,20,5404,8339,8716,5430
4,21,5024,5643,8314,8314
4,22,4886,8314,8314,8314
4,23,8314,8314,8305,8305
4,24,8314,8305,8305,8305
4,25,8305,8305,4896,8303
4,26,8305,8453,8453,8453
4,27,8453,8453,8453,8453
4,28,8453,7607,8286,7056
4,29,6019,6419,7332,8286
4,30,7818,3066,3930,4037
5,0,8552,8967,9142,6859
5,1,9072,9168,8426,8926
5,2,9015,7336,8426,8969
5,3,8948,9120,7205,5152
5,4,8426,8426,6211,8963
5,5,8426,8426,8365,8426
5,6,6768,8907,8365,8426
5,7,8365,7617,7466,9155
5,8,8365,6301,6216,8365
5,9,7432,8365,6622,8365
5,10,8291,8365,8382,7721
