rollout_id,rank0_tokens,rank1_tokens,rank2_tokens,rank3_tokens,total
0,215906,215905,215904,215904,863619
1,210180,210174,210154,210044,840552
2,214422,214418,214406,214104,857350
3,209727,209726,209726,209536,838715
4,241306,241272,241246,241242,965066
5,195951,195950,195949,195947,783797
6,213664,213664,213664,213660,854652
7,207718,207716,207716,207715,830865
8,241369,241369,241368,241367,965473
9,201973,201972,201972,201972,807889
10,227695,227234,227030,227030,908989
11,226651,226651,226650,226650,906602
12,195933,195933,195902,194866,782634
13,212644,212643,212643,212642,850572
14,237353,237353,237353,237352,949411
15,191199,191194,189656,189585,761634
16,182715,182713,182713,182712,730853
17,206906,206904,206903,206902,827615
18,232221,232221,232221,232220,928883
19,205303,205293,204968,204547,820111
